f;f_err;R;R_err;Vin;Vin_err;Vout;Vout_err;;;;;;;;;;;;;;;;;;;;;
500;0.1;28.95;0.09;20.4;1;0.4;0.01;;;;;;;;;;;;;;;;;;;;;
3000;0.6;28.95;0.09;20.6;1;2;0.1;;;;;;;;;;;;;;;;;;;;;
8000;1.6;28.95;0.09;16.2;1;4.8;0.2;;;;;;;;;;;;;;;;;;;;;
10000;2;28.95;0.09;16;1;4.4;0.2;;;;;;;;;;;;;;;;;;;;;
12000;2.4;28.95;0.09;18.4;1;3.6;0.2;;;;;;;;;;;;;;;;;;;;;
17000;3.4;28.95;0.09;20;1;2;0.1;;;;;;;;;;;;;;;;;;;;;
22000;4.4;28.95;0.09;20.3;1;2;0.1;;;;;;;;;;;;;;;;;;;;;
100000;20;28.95;0.09;20.4;1;1.4;0.1;;;;;;;;;;;;;;;;;;;;;
500;0.1;1058.9;2.4;20.2;1;3.6;0.2;;;;;;;;;;;;;;;;;;;;;
3000;0.6;1058.9;2.4;20.2;1;14.8;1;;;;;;;;;;;;;;;;;;;;;
8000;1.6;1058.9;2.4;20;1;19.6;1;;;;;;;;;;;;;;;;;;;;;
10000;2;1058.9;2.4;20;1;20;1;;;;;;;;;;;;;;;;;;;;;
12000;2.4;1058.9;2.4;20;1;19.6;1;;;;;;;;;;;;;;;;;;;;;
17000;3.4;1058.9;2.4;20;1;19.2;1;;;;;;;;;;;;;;;;;;;;;
22000;4.4;1058.9;2.4;20;1;8;0.2;;;;;;;;;;;;;;;;;;;;;
100000;20;1058.9;2.4;20.4;1;6.6;0.2;;;;;;;;;;;;;;;;;;;;;
500;0.1;262.8;0.8;20.4;1;1.2;0.1;;;;;;;;;;;;;;;;;;;;;
3000;0.6;262.8;0.8;20.6;1;6;0.2;;;;;;;;;;;;;;;;;;;;;
8000;1.6;262.8;0.8;18;1;14.8;1;;;;;;;;;;;;;;;;;;;;;
10000;2;262.8;0.8;18.2;1;16.1;1;;;;;;;;;;;;;;;;;;;;;
12000;2.4;262.8;0.8;18.6;1;14.9;1;;;;;;;;;;;;;;;;;;;;;
17000;3.4;262.8;0.8;19.6;1;11.5;1;;;;;;;;;;;;;;;;;;;;;
22000;4.4;262.8;0.8;20;1;9.2;1;;;;;;;;;;;;;;;;;;;;;
100000;20;262.8;0.8;20.4;1;2.8;0.1;;;;;;;;;;;;;;;;;;;;;
