PSU (V);V (mV);V_err (mV);I (mA);I_err (mA)
0.2;294.9;0.7949;0.00005;0.00010025
0.3;365.6;0.8656;0.00006;0.0001003
0.4;491.3;0.9913;0.0001;0.0001005
0.5;556.4;1.0564;0.00012;0.0001006
0.6;687;1.187;0.00018;0.0001009
1;1075;6.075;0.00045;0.00010225
1.5;1555;6.555;0.002;0.00011
2;1797;6.797;0.1471;0.0012355
2.5;1835;6.835;0.3887;0.0024435
3;1854;6.854;0.6078;0.003539
3.5;1869;6.869;0.8502;0.004751
4;1917;6.917;2.099;0.015495
4.5;1931;6.931;2.575;0.017875
5;1942;6.942;3.053;0.020265
5.5;1952;6.952;3.547;0.022735
6;1962;6.962;4.053;0.025265
6.5;1971;6.971;4.528;0.02764
7;1979;6.979;4.982;0.02991
7.5;1988;6.988;5.481;0.032405
8;1996;6.996;5.979;0.034895
8.5;2004;7.004;6.451;0.037255
9;2013;7.013;6.95;0.03975
9.5;2020;7.02;7.402;0.04201
10;2027;7.027;7.864;0.04432
10.5;2034;7.034;8.386;0.04693
11;2041;7.041;8.853;0.049265
11.5;2048;7.048;9.37;0.05185
12;2054;7.054;9.838;0.05419
14;2080;7.08;11.73;0.10865
16;2106;7.106;13.63;0.11815
18;2131;7.131;15.58;0.1279
