Wavelenght (m);Intensity (counts)
329.166;259.7999878
329.761;354.1000061
330.355;383.6000061
330.950;364
331.544;298.2999878
332.139;393.5
332.733;525.4000244
333.328;1528.099976
333.922;3452.199951
334.517;3742.600098
335.111;3462.399902
335.705;2071.100098
336.300;455
336.894;365.7000122
337.488;422.8999939
338.083;409.2000122
338.677;470
339.271;457.7999878
339.865;518.2999878
340.459;428.8999939
341.053;369.7999878
341.647;415.2999878
342.241;368.8999939
342.835;407.2999878
343.429;405.7000122
344.023;420.7000122
344.617;392.2999878
345.211;413.7000122
345.804;369.8999939
346.398;450.3999939
346.992;450.6000061
347.586;572.2000122
348.179;469.8999939
348.773;499.2000122
349.367;514.7999878
349.960;489.2000122
350.554;612.5
351.147;564.5999756
351.741;538
352.334;540.5
352.927;583.5999756
353.521;619
354.114;736.4000244
354.707;862
355.301;859
355.894;988.2999878
356.487;976.9000244
357.080;1100.199951
357.674;1190.599976
358.267;1437.5
358.860;1621.900024
359.453;1816.699951
360.046;1914.5
360.639;2185.899902
361.232;2465.699951
361.825;2765.199951
362.418;3356
363.010;4484.299805
363.603;7297.200195
364.196;15843.90039
364.789;16049
365.381;11358.2998
365.974;9884.700195
366.567;11467.09961
367.159;14137.2998
367.752;16115.09961
368.345;16105.2998
368.937;16115.09961
369.530;16105.2998
370.122;9451.700195
370.714;6468.100098
371.307;3223.699951
371.899;2188.5
372.491;1840.199951
373.084;1612.400024
373.676;1535.099976
374.268;1329.099976
374.860;1164.099976
375.453;1050.300049
376.045;951.5999756
376.637;866.5
377.229;844.7000122
377.821;761.5
378.413;1037.400024
379.005;982.5999756
379.597;950.7999878
380.189;895.7000122
380.780;713.0999756
381.372;747.5
381.964;657.7000122
382.556;649.5
383.148;605.4000244
383.739;452.7999878
384.331;474.6000061
384.923;517.2999878
385.514;633.9000244
386.106;623.2999878
386.697;621.4000244
387.289;548.5999756
387.880;586.2999878
388.472;669.7000122
389.063;858.9000244
389.654;1615.5
390.246;2411.800049
390.837;2395.300049
391.428;2181.300049
392.019;1179.699951
392.611;805.0999756
393.202;702.7000122
393.793;642.5999756
394.384;648.2000122
394.975;734.0999756
395.566;690.4000244
396.157;872.2999878
396.748;915.2000122
397.339;1137
397.930;1390.199951
398.521;1552.099976
399.111;1561.099976
