VERIFICA LEGGE DI MALUS;;;;
Angolo (deg);errore;I  fotodiodo (uA);errore (scala 200uA);cos^2
0;1;16.1;0.3415;1
10;1;11.5;0.2725;0.96984631
20;1;7.3;0.2095;0.883022222
30;1;3.8;0.157;0.75
40;1;1.5;0.1225;0.586824089
50;1;0.9;0.1135;0.413175911
60;1;2;0.13;0.25
70;1;4.7;0.1705;0.116977778
80;1;8.4;0.226;0.03015369
90;1;12.5;0.2875;3.75E-33
100;1;17.1;0.3565;0.03015369
110;1;21.3;0.4195;0.116977778
120;1;24.4;0.466;0.25
130;1;26.4;0.496;0.413175911
140;1;26.9;0.5035;0.586824089
150;1;26.1;0.4915;0.75
160;1;23.8;0.457;0.883022222
170;1;20.5;0.4075;0.96984631
180;1;16.3;0.3445;1
190;1;11.7;0.2755;0.96984631
200;1;7.4;0.211;0.883022222
210;1;3.7;0.1555;0.75
220;1;1.6;0.124;0.586824089
230;1;0.9;0.1135;0.413175911
240;1;2;0.13;0.25
250;1;4.7;0.1705;0.116977778
260;1;8.5;0.2275;0.03015369
270;1;13.1;0.2965;3.38E-32
280;1;17.9;0.3685;0.03015369
290;1;21.9;0.4285;0.116977778
300;1;25.1;0.4765;0.25
310;1;26.9;0.5035;0.413175911
320;1;27.4;0.511;0.586824089
330;1;26.4;0.496;0.75
340;1;24;0.46;0.883022222
350;1;20.5;0.4075;0.96984631
