misure angoli;errore;rotazione(α);errore;misure angoli;errore;rotazione(α);errore
6.7;;6.7;0.05;3.6;;3.579166667;0.05
6.65;;6.65;0.05;3.65;;3.629166667;0.05
6.75;;6.75;0.05;3.55;;3.529166667;0.05
6.7;;6.7;0.05;3.6;;3.579166667;0.05
6.7;;6.7;0.05;3.7;;3.679166667;0.05
6.8;;6.8;0.05;3.6;;3.579166667;0.05
6.7;;6.7;0.05;3.65;;3.629166667;0.05
6.75;;6.75;0.05;3.65;;3.629166667;0.05
6.75;;6.75;0.05;3.6;;3.579166667;0.05
6.7;;6.7;0.05;3.6;;3.579166667;0.05
6.7;;6.7;0.05;3.7;;3.679166667;0.05
6.75;;6.75;0.05;3.6;;3.579166667;0.05
